Tweet_lemmatized
"['startalkradio', 'neiltyson', 'chucknicecomic', 'across', 'steppe', 'wage', 'acclimation', 'sport', 'importantl…', 'httpstcodtusjnpl']"
"['happened', 'tarahumara', 'love', 'ultrarunning', 'went', 'global', 'httpstcoczxrbkck']"
"['rt', 'benfranklin', 'peter', 'nygard', 'jeffrey', 'epstein', 'harvey', 'weinstein', 'prince', 'andrew', '', 'part', 'class', 'people', 'exist', 'law…']"
"['rt', 'jxhndunn', 'feel', 'good', 'hell', 'watch', 'tennessee', 'blow', 'someone', 'sport']"
"['guess', 'right', 'fucking', 'love', 'you\n\nfavourite', 'anime', 'intro', 'song\nfavourite', 'subject', 'school\nfavouri…', 'httpstcoeiwejssgah']"
"['rt', 'bornbredarmy', 'sapol', 'thai', 'actor', 'aka', 'lisa', 'number', 'boy\nupdate', 'ig', '\n', 'lisa', '', 'lisa', 'shirt', '\nhis', 'caption', '', '💜', '', '\np', 's…']"
"['jung', '\n\nberndschulyok', 'sportschuetze', 'oberstwklink', 'beckermeister', 'markuswojahn', 'nullneunelf…', 'httpstcovurzgx']"
"['love', 'tacko', 'he’s', 'good', 'sport', 'basketball']"
"['rt', 'azcardinals', 'want', 'give', 'someone', 'special', 'holidayfeels', 'year', 'reply', 'amp', 'tag', 'someone', 'life', 'deserves', 'bose', 'spor…']"
"['alterbo', 'rumpilstiltski', 'recordsport', 'away', 'piss', 'yer', 'bed']"
"['fcbarcelonafl', 'sporten', 'koeman', 'still', 'barcas', 'couch\n\nso', 'bleed', 'barcelona', 'fan', '']"
"['mullethole', 'sexy', 'sport', 'curling']"
"['joeyblunts', 'mjwera', 'ive', 'played', 'sport', 'something', 'even', 'high', 'school', 'wasnt', 'a…', 'httpstcosclxkzuou']"
"['dannykanell', 'sport', 'playoff', 'real', 'playoff', 'college', 'pro', 'superbowl', 'ruin', 'great', 'seaso…', 'httpstcogvvfijzij']"
"['johnnybskol', 'bheintzz', 'mrst', 'cjham', 'kirkcousins', 'kylerudolph', 'im', 'never', 'one', 'involed', 'at…', 'httpstcoezanfbdvx']"
"['rt', 'gggboxing', 'best', 'sport', '🥊⚽️', 'cristiano', 'daznboxing', 'httpstcotcyrkknx']"
"['like', 'see', 'lu', 'really', 'continue', 'try', 'pour', 'poor', 'sport', 'margin', 'victory', 'te…', 'httpstcofqlorhmdg']"
"['everyone', '', 'dotheirownresearch', 'much', 'attention', 'health', 'country', 'reside', 'g…', 'httpstcoeakbqoc']"
"['withnailjones', 'tough', 'one', 'used', 'argue', 'mum', 'sport', 'maybe', 'shouldn’t', '“feed', 'fire”', 'm…', 'httpstcomcxsgtuihu']"
"['frankfigliuzzi', 'fbi', 'may', 'add', 'also', 'need', 'assist', 'victim', 'malicious', 'cyber', 'stalk…', 'httpstcorpxywngdr']"
